Average Salary,District Code,District Name,FTE Count,Salary Totals,Year
"  $62,525",3320000,West Springfield,    303.4,"     $18,969,967",2014
"  $77,082",3210000,Westborough,    271.0,"     $20,889,259",2014
"  $63,497",3250000,Westfield,    449.1,"     $28,516,205",2014
"  $70,933",3260000,Westford,    365.7,"     $25,940,225",2014
"  $62,351",3270000,Westhampton,     11.6,"        $723,274",2014
"  $89,489",3300000,Weston,    207.2,"     $18,542,161",2014
"  $77,113",3310000,Westport,    102.8,"      $7,927,170",2014
"  $82,531",3350000,Westwood,    227.6,"     $18,784,151",2014
"  $75,142",3360000,Weymouth,    433.9,"     $32,604,012",2014
"  $55,423",3370000,Whately,     11.2,"        $620,742",2014
"  $77,315",7800000,Whitman-Hanson,    237.5,"     $18,362,369",2014
"  $79,823",8850000,Whittier Regional Vocational Technical,    110.4,"      $8,812,409",2014
"  $71,385",3400000,Williamsburg,     14.9,"      $1,063,642",2014
"  $73,965",3410000,Williamstown,     35.2,"      $2,603,557",2014
"  $70,410",3420000,Wilmington,    272.5,"     $19,186,588",2014
"  $76,197",3430000,Winchendon,    104.9,"      $7,993,039",2014
"  $73,740",3440000,Winchester,    323.9,"     $23,884,360",2014
"  $58,662",3460000,Winthrop,    151.3,"      $8,874,415",2014
"  $72,799",3470000,Woburn,    364.4,"     $26,527,743",2014
"  $97,274",3480000,Worcester,"  1,434.0","    $139,487,825",2014
"  $68,878",3500000,Wrentham,     77.4,"      $5,331,161",2014
"  $73,966",0,State," 67,928.5","  $5,024,381,840",2014
"  $74,662",10000,Abington,    127.1,"      $9,489,496",2015
"  $80,750",6000000,Acton-Boxborough,    362.0,"     $29,231,455",2015
"  $64,906",30000,Acushnet,     70.0,"      $4,543,438",2015
"  $67,378",6030000,Adams-Cheshire,    100.6,"      $6,778,249",2015
"  $64,769",50000,Agawam,    321.9,"     $20,849,537",2015
"  $77,147",70000,Amesbury,    157.6,"     $12,158,388",2015
"  $71,730",80000,Amherst,    114.2,"      $8,191,622",2015
"  $80,003",6050000,Amherst-Pelham,    122.7,"      $9,816,394",2015
"  $81,211",90000,Andover,    462.5,"     $37,560,123",2015
"  $66,493",100000,Arlington,    359.7,"     $23,917,577",2015
"  $68,799",6100000,Ashburnham-Westminster,    155.9,"     $10,725,833",2015
"  $76,355",140000,Ashland,    184.0,"     $14,049,291",2015
"  $77,409",8010000,Assabet Valley Regional Vocational Technical,    107.2,"      $8,298,232",2015
"  $63,407",6150000,Athol-Royalston,    102.6,"      $6,505,576",2015
